Id,SalePrice
1461,125130.84138750022
1462,159841.874381476
1463,183179.767026702
1464,187833.52538748647
1465,194238.91958560175
1466,173493.0623478096
1467,175655.28734038977
1468,166684.67020604838
1469,182399.51919915059
1470,122973.54740670677
1471,194875.47166797673
1472,96567.90378486061
1473,97984.47857991423
1474,148851.69576062993
1475,119876.54975306851
1476,376707.0940751103
1477,254052.5727379932
1478,286276.6255873893
1479,288105.8791413866
1480,483362.2467530105
1481,326832.4252286727
1482,206175.36268652402
1483,179933.87049377593
1484,168614.24001104373
1485,176208.34686980373
1486,193876.17095046374
1487,317879.4306634195
1488,228800.85370404372
1489,199598.67473165758
1490,228053.57779325443
1491,195455.8268260519
1492,97598.49124168919
1493,172571.63660297773
1494,300129.5762715719
1495,287527.11764805485
1496,229276.6717884865
1497,183509.260444452
1498,169826.19505124755
1499,159895.0636803062
1500,157389.4374302815
1501,175561.97926246555
1502,152074.59249852278
1503,287983.95776159636
1504,235027.69232133232
1505,222421.24583487387
1506,183048.73049352673
1507,250921.0032219337
1508,201601.6578889394
1509,160625.6162632321
1510,149159.78533172217
1511,157039.34028884722
1512,174511.88487735623
1513,142527.77638578572
1514,159211.3423398227
1515,194109.8366574134
1516,150855.38055932347
1517,158335.5875621099
1518,134597.46372427946
1519,229918.6808454382
1520,134038.31272073888
1521,138496.98722937447
1522,171379.98750696334
1523,114843.43864678638
1524,122836.29079528432
1525,125193.98162643271
1526,122112.91698669916
1527,113715.3772713231
1528,131731.14414527672
1529,152702.24567283725
1530,173208.79664640897
1531,116201.97222110006
1532,97696.56538163681
1533,143790.535977652
1534,124125.76933430257
1535,150413.14641904208
1536,108534.79345724166
1537,74693.7908979346
1538,143071.47181877072
1539,206079.7154442922
1540,105988.09892620945
1541,136946.8603419341
1542,140652.52785680152
1543,195803.32258478977
1544,84685.35939809057
1545,103519.43279882039
1546,130043.92237674564
1547,134130.33467721194
1548,132763.58608570514
1549,117863.4324667882
1550,133244.86098594833
1551,113427.37032346103
1552,138401.40659992653
1553,137609.7096747869
1554,115904.31102105409
1555,164216.24504631356
1556,91931.51092298441
1557,106660.35566818832
1558,94723.65367935885
1559,70246.71205414787
1560,134488.93942261004
1561,137868.0488974902
1562,132516.94817276453
1563,122261.83874851793
1564,160443.59469966654
1565,148937.45282134408
1566,242100.4724400458
1567,82264.35045893725
1568,243830.86611164975
1569,150688.45062581584
1570,137150.26513648964
1571,125506.17816254293
1572,145845.94008243977
1573,245882.03639613997
1574,122961.93099548055
1575,226466.95995829368
1576,235717.0040829836
1577,188631.58936239805
1578,142191.57716507916
1579,143518.27660499446
1580,190516.98480812472
1581,146977.59982953803
1582,127471.1351030846
1583,323177.943490908
1584,231719.56098389355
1585,143709.46828520112
1586,82397.94536651889
1587,105798.37184120741
1588,143340.38410291533
1589,101610.17780352363
1590,131642.507931294
1591,99374.87246009505
1592,117450.19038757432
1593,120719.14149653823
1594,128988.45217314037
1595,109731.46805606954
1596,229159.56568833435
1597,182660.69783146022
1598,199277.18043266144
1599,167502.6859222586
1600,167325.85228602146
1601,70859.49536329095
1602,112669.7849584539
1603,71414.12700805104
1604,272230.8387513273
1605,241421.93580296193
1606,163160.065153207
1607,170194.53352264623
1608,212930.12103547947
1609,187400.80596470006
1610,154629.51199052724
1611,140922.6167337941
1612,175301.78531789713
1613,169932.19869131755
1614,120599.76912670636
1615,89771.96993325691
1616,81078.14274002917
1617,88915.68448639617
1618,130201.53570805251
1619,140784.08488943064
1620,168183.12348317963
1621,140150.56853515585
1622,138184.74726958224
1623,274655.71881749
1624,224360.65239496029
1625,123934.864845753
1626,166860.5905074866
1627,188515.22081784505
1628,265486.3316741631
1629,172302.78248742863
1630,353967.37341386103
1631,211295.50522558248
1632,240270.99138144634
1633,170593.41509214247
1634,189529.2856891649
1635,178212.94747277588
1636,158024.69582989378
1637,199693.8513314219
1638,183227.56852220077
1639,180068.10050324682
1640,242892.4876910774
1641,179054.74720602285
1642,231815.5592584485
1643,224206.72818071523
1644,223932.49218653393
1645,200232.42718926413
1646,157087.14578765357
1647,158044.49206856082
1648,136996.24108490677
1649,139957.88582002925
1650,116643.97240622721
1651,123612.7081144482
1652,96021.46671845551
1653,96247.55596764802
1654,151625.494603041
1655,140271.30674639554
1656,146013.57118632947
1657,153766.97176675382
1658,150930.42960490184
1659,126477.70822158708
1660,156003.9635410018
1661,475659.3141101962
1662,376549.1839873806
1663,378799.96446134103
1664,459987.3256383678
1665,307675.94257639453
1666,324044.33033983404
1667,357223.1275563855
1668,336686.0717820422
1669,295388.2648535707
1670,339260.61386425263
1671,282075.5951958708
1672,462040.72825597925
1673,299770.85197272163
1674,248024.47871961177
1675,196380.95458898487
1676,195156.86237988347
1677,216039.69729145072
1678,474752.2731412682
1679,391256.8657716221
1680,327012.25935854
1681,240382.0458390184
1682,303668.05265014886
1683,189340.47207053707
1684,177166.96039093827
1685,174378.21517084792
1686,173117.48047714785
1687,168005.70302358514
1688,186431.1840032652
1689,189418.58907009408
1690,190368.5253111558
1691,179648.5416613737
1692,244229.68530618816
1693,169755.90172832832
1694,177897.08027657418
1695,164969.19467069965
1696,278739.2039458858
1697,165099.361492042
1698,348504.3133727723
1699,322954.00172744505
1700,256010.53375000576
1701,266047.782501813
1702,247694.88832698425
1703,247259.13890745153
1704,292989.0844263691
1705,229058.5185009391
1706,316566.9600157041
1707,213169.0065792958
1708,209631.2717430375
1709,262950.6043560771
1710,216541.41566235785
1711,258353.60193387826
1712,250449.48213380403
1713,277635.28181205766
1714,222737.7446225383
1715,201727.48691404358
1716,178904.71715286502
1717,166209.8058094749
1718,138623.1618694083
1719,202697.94805768295
1720,233072.93744097103
1721,161769.5876724489
1722,125557.03572390274
1723,153144.7225505775
1724,211094.06609874254
1725,240051.4102358883
1726,192066.92429030236
1727,163394.34211452378
1728,172443.22282383958
1729,163384.05311332905
1730,153312.79051558976
1731,119331.06728131465
1732,133537.42297015703
1733,120130.57018667052
1734,122822.5296412784
1735,128354.09807857104
1736,115709.29526763319
1737,304987.96913818445
1738,225150.37222204238
1739,263184.68209804856
1740,230413.81826655258
1741,194664.0538311493
1742,172794.1989479702
1743,174722.38727381377
1744,312497.97326540574
1745,217603.90937274398
1746,187867.04507577204
1747,209026.95455150865
1748,212529.40689282116
1749,154314.50621258043
1750,131266.5550687617
1751,239613.5416309419
1752,119285.21265333948
1753,147391.03374178417
1754,189085.46199690923
1755,167892.49720267722
1756,128407.64173438612
1757,120996.69466081494
1758,148390.4270248528
1759,160469.93642180623
1760,164147.97200728726
1761,147696.12782278215
1762,177111.76108728664
1763,171991.65339410838
1764,118564.99720593536
1765,160672.5517412481
1766,186229.80371685282
1767,220322.9855642396
1768,145456.81860132838
1769,166554.41468012283
1770,145828.84996937308
1771,129423.09942077912
1772,137820.4261986996
1773,126821.69304570345
1774,142606.38180744115
1775,137006.0598965255
1776,121307.38512099814
1777,116128.15656521109
1778,140725.22644866758
1779,120809.17125989721
1780,167404.5751670431
1781,128067.90195510983
1782,94696.80364322962
1783,140131.5489211048
1784,106356.49528462955
1785,122502.74705046977
1786,145007.87464630508
1787,162659.6522436193
1788,65784.17049939082
1789,97484.20408223452
1790,83756.59950663506
1791,182076.4220766373
1792,158210.8910838383
1793,133527.49986265888
1794,150912.70525470408
1795,135982.7839786894
1796,121009.67932080699
1797,119853.94162811199
1798,126480.45831395038
1799,109637.92311300572
